SUBJECT;LABEL;DICE;HDRFDST95;PRCISON;SNSVTY;VOLSMTY
117122;Amygdala;0.4846715328467153;27.018512172212592;0.3658867412682265;0.7176587961423345;0.675350926445817
117122;GreyMatter;0.680507448954808;5.0990195135927845;0.5256347955473465;0.9647651503341746;0.7053607281721301
117122;Hippocampus;0.41708383833061075;21.0;0.2703210382513661;0.9124971178233802;0.45707962270116453
117122;Thalamus;0.7275170895608852;19.339079605813716;0.6044899688089646;0.9134178982893052;0.7964778125362066
117122;WhiteMatter;0.8045783033191735;3.0;0.6906735376766068;0.9634726601642344;0.8350816131949446
117122-PP;Amygdala;0.4846715328467153;27.018512172212592;0.3658867412682265;0.7176587961423345;0.675350926445817
117122-PP;GreyMatter;0.680507448954808;5.0990195135927845;0.5256347955473465;0.9647651503341746;0.7053607281721301
117122-PP;Hippocampus;0.41708383833061075;21.0;0.2703210382513661;0.9124971178233802;0.45707962270116453
117122-PP;Thalamus;0.7275170895608852;19.339079605813716;0.6044899688089646;0.9134178982893052;0.7964778125362066
117122-PP;WhiteMatter;0.8045783033191735;3.0;0.6906735376766068;0.9634726601642344;0.8350816131949446
118528;Amygdala;0.45988052008902425;24.020824298928627;0.36284658040665435;0.627758234729773;0.7325758463160361
118528;GreyMatter;0.6950696305440461;5.0990195135927845;0.5446816869398816;0.9601767852122968;0.7238975585005056
118528;Hippocampus;0.40698529411764706;21.0;0.26279711564141367;0.9017411668872823;0.45133272058823526
118528;Thalamus;0.6568838132662042;39.761790704142086;0.5221069069850669;0.8854557492827191;0.741859560794908
118528;WhiteMatter;0.8064107904741442;3.605551275463989;0.6941758566959378;0.9619376800647762;0.8383191626507873
118528-PP;Amygdala;0.45988052008902425;24.020824298928627;0.36284658040665435;0.627758234729773;0.7325758463160361
118528-PP;GreyMatter;0.6950696305440461;5.0990195135927845;0.5446816869398816;0.9601767852122968;0.7238975585005056
118528-PP;Hippocampus;0.40698529411764706;21.0;0.26279711564141367;0.9017411668872823;0.45133272058823526
118528-PP;Thalamus;0.6568838132662042;39.761790704142086;0.5221069069850669;0.8854557492827191;0.741859560794908
118528-PP;WhiteMatter;0.8064107904741442;3.605551275463989;0.6941758566959378;0.9619376800647762;0.8383191626507873
118730;Amygdala;0.5194219534693041;31.12876483254676;0.3908081431215299;0.7742132600061106;0.6709029414779133
118730;GreyMatter;0.7018654910399281;3.4641016151377544;0.557864378672627;0.9460751604417257;0.7418707523324308
118730;Hippocampus;0.36368465531812144;28.160255680657446;0.22981385413487945;0.8711393869288606;0.4174815887963298
118730;Thalamus;0.715751550529004;26.476404589747453;0.581856602654408;0.9296884255419974;0.7698832542867566
118730;WhiteMatter;0.7888145543403761;2.8284271247461903;0.6666404327959062;0.9658185732235989;0.8167316059242483
118730-PP;Amygdala;0.5194219534693041;31.12876483254676;0.3908081431215299;0.7742132600061106;0.6709029414779133
118730-PP;GreyMatter;0.7018654910399281;3.4641016151377544;0.557864378672627;0.9460751604417257;0.7418707523324308
118730-PP;Hippocampus;0.36368465531812144;28.160255680657446;0.22981385413487945;0.8711393869288606;0.4174815887963298
118730-PP;Thalamus;0.715751550529004;26.476404589747453;0.581856602654408;0.9296884255419974;0.7698832542867566
118730-PP;WhiteMatter;0.7888145543403761;2.8284271247461903;0.6666404327959062;0.9658185732235989;0.8167316059242483
118932;Amygdala;0.5430577799679684;28.792360097775937;0.4327508344786962;0.7288359788359788;0.7451028705186645
118932;GreyMatter;0.7068896512105477;4.47213595499958;0.5587487884285608;0.961924287127742;0.7348703641960065
118932;Hippocampus;0.39766814415108886;24.331050121192877;0.2523618797199376;0.9374219193639978;0.4242146849103874
118932;Thalamus;0.7061087685155152;31.51190251317746;0.5940331089685282;0.8703091684434968;0.8113309546978051
118932;WhiteMatter;0.813554669038948;3.0;0.7063720269255023;0.9590828461755898;0.8482631842317423
118932-PP;Amygdala;0.5430577799679684;28.792360097775937;0.4327508344786962;0.7288359788359788;0.7451028705186645
118932-PP;GreyMatter;0.7068896512105477;4.47213595499958;0.5587487884285608;0.961924287127742;0.7348703641960065
118932-PP;Hippocampus;0.39766814415108886;24.331050121192877;0.2523618797199376;0.9374219193639978;0.4242146849103874
118932-PP;Thalamus;0.7061087685155152;31.51190251317746;0.5940331089685282;0.8703091684434968;0.8113309546978051
118932-PP;WhiteMatter;0.813554669038948;3.0;0.7063720269255023;0.9590828461755898;0.8482631842317423
120111;Amygdala;0.5164137337208051;27.730849247724095;0.4335803361648292;0.6383714741883981;0.8089549025939081
120111;GreyMatter;0.6847027397610994;4.47213595499958;0.5298499659338688;0.967446506196981;0.7077422217923517
120111;Hippocampus;0.3914585731400785;19.72308292331602;0.24587599964588192;0.9596867081317668;0.4079024642345369
120111;Thalamus;0.6683183908287316;36.71511950137164;0.534293483734515;0.8920964125560538;0.7491548911331807
120111;WhiteMatter;0.8403269518750427;2.23606797749979;0.7504146442686865;0.954718273741822;0.8801831650100861
120111-PP;Amygdala;0.5164137337208051;27.730849247724095;0.4335803361648292;0.6383714741883981;0.8089549025939081
120111-PP;GreyMatter;0.6847027397610994;4.47213595499958;0.5298499659338688;0.967446506196981;0.7077422217923517
120111-PP;Hippocampus;0.3914585731400785;19.72308292331602;0.24587599964588192;0.9596867081317668;0.4079024642345369
120111-PP;Thalamus;0.6683183908287316;36.71511950137164;0.534293483734515;0.8920964125560538;0.7491548911331807
120111-PP;WhiteMatter;0.8403269518750427;2.23606797749979;0.7504146442686865;0.954718273741822;0.8801831650100861
