LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5238398627531231
Amygdala;DICE;STD;0.03471770862437908
Amygdala;HDRFDST95;MEAN;26.61960823757144
Amygdala;HDRFDST95;STD;2.1900815688504567
Amygdala;PRCISON;MEAN;0.4139533134111396
Amygdala;PRCISON;STD;0.03171456888078971
Amygdala;SNSVTY;MEAN;0.7161161322391989
Amygdala;SNSVTY;STD;0.053994224513618266
Amygdala;VOLSMTY;MEAN;0.7329924584898468
Amygdala;VOLSMTY;STD;0.038008623423772814
GreyMatter;DICE;MEAN;0.6919929929621937
GreyMatter;DICE;STD;0.010684621367341697
GreyMatter;HDRFDST95;MEAN;4.829466520930187
GreyMatter;HDRFDST95;STD;0.6133947531683643
GreyMatter;PRCISON;MEAN;0.5426902949020181
GreyMatter;PRCISON;STD;0.012619567747862057
GreyMatter;SNSVTY;MEAN;0.9550270326053883
GreyMatter;SNSVTY;STD;0.010699205913645381
GreyMatter;VOLSMTY;MEAN;0.7246360659061054
GreyMatter;VOLSMTY;STD;0.01186204464621262
Hippocampus;DICE;MEAN;0.3984889734745486
Hippocampus;DICE;STD;0.014754804579568584
Hippocampus;HDRFDST95;MEAN;22.116220577173237
Hippocampus;HDRFDST95;STD;2.4439286777275355
Hippocampus;PRCISON;MEAN;0.2548639636262221
Hippocampus;PRCISON;STD;0.011503340065547601
Hippocampus;SNSVTY;MEAN;0.9150476440569184
Hippocampus;SNSVTY;STD;0.03158219784872057
Hippocampus;VOLSMTY;MEAN;0.43582616317390965
Hippocampus;VOLSMTY;STD;0.01831083049249338
Thalamus;DICE;MEAN;0.7043786864505683
Thalamus;DICE;STD;0.029538602232701692
Thalamus;HDRFDST95;MEAN;32.168498155039416
Thalamus;HDRFDST95;STD;7.063124411280433
Thalamus;PRCISON;MEAN;0.5779188247317091
Thalamus;PRCISON;STD;0.03566211570718946
Thalamus;SNSVTY;MEAN;0.9034074021535916
Thalamus;SNSVTY;STD;0.01966737441866981
Thalamus;VOLSMTY;MEAN;0.7796416867061889
Thalamus;VOLSMTY;STD;0.026625492043195774
WhiteMatter;DICE;MEAN;0.8097693292864718
WhiteMatter;DICE;STD;0.01877294586063612
WhiteMatter;HDRFDST95;MEAN;3.3329548617668925
WhiteMatter;HDRFDST95;STD;0.5398257954418554
WhiteMatter;PRCISON;MEAN;0.6992816499846689
WhiteMatter;PRCISON;STD;0.03066503273311792
WhiteMatter;SNSVTY;MEAN;0.9630966216307592
WhiteMatter;SNSVTY;STD;0.006050193684284069
WhiteMatter;VOLSMTY;MEAN;0.8409381195440282
WhiteMatter;VOLSMTY;STD;0.024222546392377555
