LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.48144825793624346
Amygdala;DICE;STD;0.037418584532179305
Amygdala;HDRFDST;MEAN;63.578790095856775
Amygdala;HDRFDST;STD;6.374750971370178
GreyMatter;DICE;MEAN;0.6928435912077822
GreyMatter;DICE;STD;0.010921719414686693
GreyMatter;HDRFDST;MEAN;20.936521018083994
GreyMatter;HDRFDST;STD;1.0305763723892734
Hippocampus;DICE;MEAN;0.342612929444774
Hippocampus;DICE;STD;0.01118303228433612
Hippocampus;HDRFDST;MEAN;50.856276628343934
Hippocampus;HDRFDST;STD;15.428516698028977
Thalamus;DICE;MEAN;0.7301793231948088
Thalamus;DICE;STD;0.020684566883243626
Thalamus;HDRFDST;MEAN;64.90521136579264
Thalamus;HDRFDST;STD;2.667121587363588
WhiteMatter;DICE;MEAN;0.8090827966279022
WhiteMatter;DICE;STD;0.018793957643646584
WhiteMatter;HDRFDST;MEAN;23.057537562108532
WhiteMatter;HDRFDST;STD;3.0577706866202563
