SUBJECT;LABEL;DICE
117122;Amygdala;0.4382210827334582
117122;GreyMatter;0.6706954921928967
117122;Hippocampus;0.35508675515766613
117122;Thalamus;0.7400347859236139
117122;WhiteMatter;0.8106871438605362
117122-PP;Amygdala;0.4382210827334582
117122-PP;GreyMatter;0.6706954921928967
117122-PP;Hippocampus;0.35508675515766613
117122-PP;Thalamus;0.7400347859236139
117122-PP;WhiteMatter;0.8106871438605362
118528;Amygdala;0.3905102617209565
118528;GreyMatter;0.6860803650093981
118528;Hippocampus;0.3563075488558219
118528;Thalamus;0.7232587064676617
118528;WhiteMatter;0.8079551330496002
118528-PP;Amygdala;0.3905102617209565
118528-PP;GreyMatter;0.6860803650093981
118528-PP;Hippocampus;0.3563075488558219
118528-PP;Thalamus;0.7232587064676617
118528-PP;WhiteMatter;0.8079551330496002
118730;Amygdala;0.5147422484306639
118730;GreyMatter;0.6930903680908139
118730;Hippocampus;0.32786470947497
118730;Thalamus;0.7367592592592592
118730;WhiteMatter;0.7946275315925033
118730-PP;Amygdala;0.5147422484306639
118730-PP;GreyMatter;0.6930903680908139
118730-PP;Hippocampus;0.32786470947497
118730-PP;Thalamus;0.7367592592592592
118730-PP;WhiteMatter;0.7946275315925033
118932;Amygdala;0.49141480068279947
118932;GreyMatter;0.6991739407141416
118932;Hippocampus;0.34266995625401697
118932;Thalamus;0.7329774238791115
118932;WhiteMatter;0.8179578654520403
118932-PP;Amygdala;0.49141480068279947
118932-PP;GreyMatter;0.6991739407141416
118932-PP;Hippocampus;0.34266995625401697
118932-PP;Thalamus;0.7329774238791115
118932-PP;WhiteMatter;0.8179578654520403
120111;Amygdala;0.44966684674950474
120111;GreyMatter;0.6720861303632437
120111;Hippocampus;0.3353076800763237
120111;Thalamus;0.7049698860435895
120111;WhiteMatter;0.8430752845995637
120111-PP;Amygdala;0.44966684674950474
120111-PP;GreyMatter;0.6720861303632437
120111-PP;Hippocampus;0.3353076800763237
120111-PP;Thalamus;0.7049698860435895
120111-PP;WhiteMatter;0.8430752845995637
122317;Amygdala;0.5282242257938063
122317;GreyMatter;0.6876583160458504
122317;Hippocampus;0.33691837943763386
122317;Thalamus;0.7694668780033713
122317;WhiteMatter;0.825646763076838
122317-PP;Amygdala;0.5282242257938063
122317-PP;GreyMatter;0.6876583160458504
122317-PP;Hippocampus;0.33691837943763386
122317-PP;Thalamus;0.7694668780033713
122317-PP;WhiteMatter;0.825646763076838
122620;Amygdala;0.5206026502087493
122620;GreyMatter;0.69201421587387
122620;Hippocampus;0.3324298500477741
122620;Thalamus;0.7402868681242167
122620;WhiteMatter;0.7973636537669027
122620-PP;Amygdala;0.5206026502087493
122620-PP;GreyMatter;0.69201421587387
122620-PP;Hippocampus;0.3324298500477741
122620-PP;Thalamus;0.7402868681242167
122620-PP;WhiteMatter;0.7973636537669027
123117;Amygdala;0.4843316144387148
123117;GreyMatter;0.6873431005675307
123117;Hippocampus;0.3490329733503059
123117;Thalamus;0.7223775262361944
123117;WhiteMatter;0.8347269138572783
123117-PP;Amygdala;0.4843316144387148
123117-PP;GreyMatter;0.6873431005675307
123117-PP;Hippocampus;0.3490329733503059
123117-PP;Thalamus;0.7223775262361944
123117-PP;WhiteMatter;0.8347269138572783
123925;Amygdala;0.471459777756672
123925;GreyMatter;0.6717179234118308
123925;Hippocampus;0.3628688473455468
123925;Thalamus;0.7715541877335678
123925;WhiteMatter;0.8270419550524668
123925-PP;Amygdala;0.471459777756672
123925-PP;GreyMatter;0.6717179234118308
123925-PP;Hippocampus;0.3628688473455468
123925-PP;Thalamus;0.7715541877335678
123925-PP;WhiteMatter;0.8270419550524668
124422;Amygdala;0.5645789101203114
124422;GreyMatter;0.6638571493683845
124422;Hippocampus;0.3496497558904691
124422;Thalamus;0.7953873734192548
124422;WhiteMatter;0.7837345854765083
124422-PP;Amygdala;0.5645789101203114
124422-PP;GreyMatter;0.6638571493683845
124422-PP;Hippocampus;0.3496497558904691
124422-PP;Thalamus;0.7953873734192548
124422-PP;WhiteMatter;0.7837345854765083
