SUBJECT;LABEL;DICE
117122;Amygdala;0.0
117122;GreyMatter;0.49619288234525416
117122;Hippocampus;0.0
117122;Thalamus;0.0
117122;WhiteMatter;0.7282877163963923
117122-PP;Amygdala;0.0
117122-PP;GreyMatter;0.49619288234525416
117122-PP;Hippocampus;0.0
117122-PP;Thalamus;0.0
117122-PP;WhiteMatter;0.7282877163963923
118528;Amygdala;0.0
118528;GreyMatter;0.28745189369539004
118528;Hippocampus;0.0
118528;Thalamus;0.0
118528;WhiteMatter;0.4857216358362719
118528-PP;Amygdala;0.0
118528-PP;GreyMatter;0.28745189369539004
118528-PP;Hippocampus;0.0
118528-PP;Thalamus;0.0
118528-PP;WhiteMatter;0.4857216358362719
118730;Amygdala;0.0
118730;GreyMatter;0.46485134234529957
118730;Hippocampus;0.0
118730;Thalamus;0.0
118730;WhiteMatter;0.6026116009280742
118730-PP;Amygdala;0.0
118730-PP;GreyMatter;0.46485134234529957
118730-PP;Hippocampus;0.0
118730-PP;Thalamus;0.0
118730-PP;WhiteMatter;0.6026116009280742
118932;Amygdala;0.0
118932;GreyMatter;0.48733708680940835
118932;Hippocampus;0.0002284669865204478
118932;Thalamus;0.0
118932;WhiteMatter;0.7185734386736395
118932-PP;Amygdala;0.0
118932-PP;GreyMatter;0.48733708680940835
118932-PP;Hippocampus;0.0002284669865204478
118932-PP;Thalamus;0.0
118932-PP;WhiteMatter;0.7185734386736395
120111;Amygdala;0.0
120111;GreyMatter;0.4600765383632622
120111;Hippocampus;0.0
120111;Thalamus;0.0
120111;WhiteMatter;0.657112980878519
120111-PP;Amygdala;0.0
120111-PP;GreyMatter;0.4600765383632622
120111-PP;Hippocampus;0.0
120111-PP;Thalamus;0.0
120111-PP;WhiteMatter;0.657112980878519
122317;Amygdala;0.0
122317;GreyMatter;0.49195159048558
122317;Hippocampus;0.0
122317;Thalamus;0.0
122317;WhiteMatter;0.6412826661657522
122317-PP;Amygdala;0.0
122317-PP;GreyMatter;0.49195159048558
122317-PP;Hippocampus;0.0
122317-PP;Thalamus;0.0
122317-PP;WhiteMatter;0.6412826661657522
122620;Amygdala;0.0
122620;GreyMatter;0.4937625138771776
122620;Hippocampus;0.0
122620;Thalamus;0.0
122620;WhiteMatter;0.6387537374000731
122620-PP;Amygdala;0.0
122620-PP;GreyMatter;0.4937625138771776
122620-PP;Hippocampus;0.0
122620-PP;Thalamus;0.0
122620-PP;WhiteMatter;0.6387537374000731
123117;Amygdala;0.0
123117;GreyMatter;0.34187366827941384
123117;Hippocampus;0.0002028809089064719
123117;Thalamus;0.0
123117;WhiteMatter;0.4063699256991769
123117-PP;Amygdala;0.0
123117-PP;GreyMatter;0.34187366827941384
123117-PP;Hippocampus;0.0002028809089064719
123117-PP;Thalamus;0.0
123117-PP;WhiteMatter;0.4063699256991769
123925;Amygdala;0.0
123925;GreyMatter;0.40643530785936843
123925;Hippocampus;0.0
123925;Thalamus;0.0
123925;WhiteMatter;0.5574422756565542
123925-PP;Amygdala;0.0
123925-PP;GreyMatter;0.40643530785936843
123925-PP;Hippocampus;0.0
123925-PP;Thalamus;0.0
123925-PP;WhiteMatter;0.5574422756565542
124422;Amygdala;0.0
124422;GreyMatter;0.3816523740880764
124422;Hippocampus;0.0
124422;Thalamus;0.0
124422;WhiteMatter;0.4897708020583364
124422-PP;Amygdala;0.0
124422-PP;GreyMatter;0.3816523740880764
124422-PP;Hippocampus;0.0
124422-PP;Thalamus;0.0
124422-PP;WhiteMatter;0.4897708020583364
