SUBJECT;LABEL;DICE
117122;Amygdala;0.5087014725568942
117122;GreyMatter;0.6733512660522581
117122;Hippocampus;0.30372955125318923
117122;Thalamus;0.7302929769636933
117122;WhiteMatter;0.8119423135821673
117122-PP;Amygdala;0.5087014725568942
117122-PP;GreyMatter;0.6733512660522581
117122-PP;Hippocampus;0.30372955125318923
117122-PP;Thalamus;0.7302929769636933
117122-PP;WhiteMatter;0.8119423135821673
118528;Amygdala;0.47164450505739286
118528;GreyMatter;0.686254784473257
118528;Hippocampus;0.30513823376361776
118528;Thalamus;0.7083044683062002
118528;WhiteMatter;0.8095984768374522
118528-PP;Amygdala;0.47164450505739286
118528-PP;GreyMatter;0.686254784473257
118528-PP;Hippocampus;0.30513823376361776
118528-PP;Thalamus;0.7083044683062002
118528-PP;WhiteMatter;0.8095984768374522
118730;Amygdala;0.5586616297895305
118730;GreyMatter;0.6944168005428956
118730;Hippocampus;0.29479703547646813
118730;Thalamus;0.7194309180261652
118730;WhiteMatter;0.7961095277989482
118730-PP;Amygdala;0.5586616297895305
118730-PP;GreyMatter;0.6944168005428956
118730-PP;Hippocampus;0.29479703547646813
118730-PP;Thalamus;0.7194309180261652
118730-PP;WhiteMatter;0.7961095277989482
118932;Amygdala;0.5244191559981034
118932;GreyMatter;0.7014659927461824
118932;Hippocampus;0.29451256139359033
118932;Thalamus;0.7182586066206471
118932;WhiteMatter;0.8191233361284731
118932-PP;Amygdala;0.5244191559981034
118932-PP;GreyMatter;0.7014659927461824
118932-PP;Hippocampus;0.29451256139359033
118932-PP;Thalamus;0.7182586066206471
118932-PP;WhiteMatter;0.8191233361284731
120111;Amygdala;0.5060950832994717
120111;GreyMatter;0.6749191215710825
120111;Hippocampus;0.2926735711545838
120111;Thalamus;0.6886716939798626
120111;WhiteMatter;0.8440858261762233
120111-PP;Amygdala;0.5060950832994717
120111-PP;GreyMatter;0.6749191215710825
120111-PP;Hippocampus;0.2926735711545838
120111-PP;Thalamus;0.6886716939798626
120111-PP;WhiteMatter;0.8440858261762233
122317;Amygdala;0.5818830879071842
122317;GreyMatter;0.6890316177532714
122317;Hippocampus;0.28953316953316954
122317;Thalamus;0.7514728986645719
122317;WhiteMatter;0.8264395424624453
122317-PP;Amygdala;0.5818830879071842
122317-PP;GreyMatter;0.6890316177532714
122317-PP;Hippocampus;0.28953316953316954
122317-PP;Thalamus;0.7514728986645719
122317-PP;WhiteMatter;0.8264395424624453
122620;Amygdala;0.5501513622603431
122620;GreyMatter;0.6926435082532644
122620;Hippocampus;0.29181858452311993
122620;Thalamus;0.7251567504172494
122620;WhiteMatter;0.7996233839182281
122620-PP;Amygdala;0.5501513622603431
122620-PP;GreyMatter;0.6926435082532644
122620-PP;Hippocampus;0.29181858452311993
122620-PP;Thalamus;0.7251567504172494
122620-PP;WhiteMatter;0.7996233839182281
123117;Amygdala;0.5050086355785838
123117;GreyMatter;0.6889147905036501
123117;Hippocampus;0.2996138186520349
123117;Thalamus;0.705287990741565
123117;WhiteMatter;0.8357376624498078
123117-PP;Amygdala;0.5050086355785838
123117-PP;GreyMatter;0.6889147905036501
123117-PP;Hippocampus;0.2996138186520349
123117-PP;Thalamus;0.705287990741565
123117-PP;WhiteMatter;0.8357376624498078
123925;Amygdala;0.5347663961395043
123925;GreyMatter;0.6730339483212184
123925;Hippocampus;0.31082848186296463
123925;Thalamus;0.7563909774436091
123925;WhiteMatter;0.8290015072052834
123925-PP;Amygdala;0.5347663961395043
123925-PP;GreyMatter;0.6730339483212184
123925-PP;Hippocampus;0.31082848186296463
123925-PP;Thalamus;0.7563909774436091
123925-PP;WhiteMatter;0.8290015072052834
124422;Amygdala;0.5955432853480576
124422;GreyMatter;0.6663801895413703
124422;Hippocampus;0.29977171034608713
124422;Thalamus;0.7805353492131413
124422;WhiteMatter;0.7855324992342487
124422-PP;Amygdala;0.5955432853480576
124422-PP;GreyMatter;0.6663801895413703
124422-PP;Hippocampus;0.29977171034608713
124422-PP;Thalamus;0.7805353492131413
124422-PP;WhiteMatter;0.7855324992342487
