SUBJECT;LABEL;AVGDIST;DICE;HDRFDST;HDRFDST95;PRCISON;SNSVTY;VOLSMTY
117122;Amygdala;2.6856274565498723;0.45515719801434085;69.06518659932803;24.124676163629637;0.34054143281611093;0.6860658463584969;0.6634307777164921
117122;GreyMatter;0.402230560030621;0.678916364681279;20.248456731316587;4.358898943540674;0.5236473898575118;0.9650749549599326;0.7034856320662325
117122;Hippocampus;2.7833817643589893;0.39853094952689433;73.13002119512889;25.079872407968907;0.2558703127558539;0.9007378372146645;0.4424494376291158
117122;Thalamus;1.3404202887101635;0.6830351312524487;68.38128398911503;25.475478405713993;0.5456252608151342;0.9129524031188176;0.7481607243916242
117122;WhiteMatter;0.3980818220753182;0.8027556142877074;19.026297590440446;3.605551275463989;0.6892979310136979;0.960922384654652;0.8354010970159796
117122-PP;Amygdala;2.6856274565498723;0.45515719801434085;69.06518659932803;24.124676163629637;0.34054143281611093;0.6860658463584969;0.6634307777164921
117122-PP;GreyMatter;0.402230560030621;0.678916364681279;20.248456731316587;4.358898943540674;0.5236473898575118;0.9650749549599326;0.7034856320662325
117122-PP;Hippocampus;2.7833817643589893;0.39853094952689433;73.13002119512889;25.079872407968907;0.2558703127558539;0.9007378372146645;0.4424494376291158
117122-PP;Thalamus;1.3404202887101635;0.6830351312524487;68.38128398911503;25.475478405713993;0.5456252608151342;0.9129524031188176;0.7481607243916242
117122-PP;WhiteMatter;0.3980818220753182;0.8027556142877074;19.026297590440446;3.605551275463989;0.6892979310136979;0.960922384654652;0.8354010970159796
118528;Amygdala;2.529955056780682;0.4382300884955752;68.66585760041157;19.026297590440446;0.34723261032161556;0.5938599296450272;0.7379351032448378
118528;GreyMatter;0.4054489184281069;0.6912908851193116;20.92844953645635;5.0;0.539488328485428;0.9619733072201568;0.7186175332836996
118528;Hippocampus;3.123680719999853;0.38602012322148843;77.43384273042376;25.317977802344327;0.24670689215602956;0.8867732410141533;0.43530871858516906
118528;Thalamus;2.9953993962875893;0.6191555572630527;58.677082408722406;42.20189569201838;0.47492190723168504;0.8892076804237475;0.696300280456414
118528;WhiteMatter;0.35918311531131564;0.8064528879624969;23.790754506740637;4.123105625617661;0.6950041937036914;0.9604710086556628;0.839643134144424
118528-PP;Amygdala;2.529955056780682;0.4382300884955752;68.66585760041157;19.026297590440446;0.34723261032161556;0.5938599296450272;0.7379351032448378
118528-PP;GreyMatter;0.4054489184281069;0.6912908851193116;20.92844953645635;5.0;0.539488328485428;0.9619733072201568;0.7186175332836996
118528-PP;Hippocampus;3.1236807199998524;0.38602012322148843;77.43384273042376;25.317977802344327;0.24670689215602956;0.8867732410141533;0.43530871858516906
118528-PP;Thalamus;2.9953993962875893;0.6191555572630527;58.677082408722406;42.20189569201838;0.47492190723168504;0.8892076804237475;0.696300280456414
118528-PP;WhiteMatter;0.35918311531131564;0.8064528879624969;23.790754506740637;4.123105625617661;0.6950041937036914;0.9604710086556628;0.839643134144424
118730;Amygdala;3.2549901698567916;0.4804885622606355;66.04543890383347;37.0;0.36333750782717594;0.7091353498319585;0.6775696097712451
118730;GreyMatter;0.3642656289307088;0.6991556365337852;20.46948949045872;3.1622776601683795;0.5539765560447798;0.9474516229331228;0.7379328079774011
118730;Hippocampus;3.146199787303009;0.3544382223281306;74.89993324429602;28.35489375751565;0.22319927971188475;0.860266049739734;0.41201000834028356
118730;Thalamus;1.3725689044847162;0.6751420302283203;67.09694478886502;31.0322412983658;0.5290461311023754;0.9327093946214904;0.7238503590952943
118730;WhiteMatter;0.3830944583920791;0.7872190847762223;20.85665361461421;3.0;0.6652403404298178;0.9639737020339192;0.8166395858260898
118730-PP;Amygdala;3.2549901698567916;0.4804885622606355;66.04543890383347;37.0;0.36333750782717594;0.7091353498319585;0.6775696097712451
118730-PP;GreyMatter;0.3642656289307088;0.6991556365337852;20.46948949045872;3.1622776601683795;0.5539765560447798;0.9474516229331228;0.7379328079774011
118730-PP;Hippocampus;3.1461997873030096;0.3544382223281306;74.89993324429602;28.35489375751565;0.22319927971188475;0.860266049739734;0.41201000834028356
118730-PP;Thalamus;1.3725689044847162;0.6751420302283203;67.09694478886502;31.0322412983658;0.5290461311023754;0.9327093946214904;0.7238503590952943
118730-PP;WhiteMatter;0.3830944583920791;0.7872190847762223;20.85665361461421;3.0;0.6652403404298178;0.9639737020339192;0.8166395858260898
118932;Amygdala;2.484270337936005;0.4817384474407645;65.95452979136459;23.53720459187964;0.39869989165763814;0.6084656084656085;0.7917266657939521
118932;GreyMatter;0.35655374563934916;0.7055738407485271;20.074859899884732;3.7416573867739413;0.5568501605051194;0.9626890816226479;0.7329197497069941
118932;Hippocampus;2.9047484597804334;0.38416214942257837;76.24303246854758;26.248809496813376;0.24237918215613383;0.9256104486087451;0.41503653075654023
118932;Thalamus;1.597560530734779;0.6677673148261384;54.55272678794342;34.26368339802363;0.5405913801069236;0.8731876332622601;0.7647466470995883
118932;WhiteMatter;0.3643410963237247;0.8113370696000619;22.9128784747792;3.1622776601683795;0.7046130020211412;0.9561619480301348;0.8485351997865652
118932-PP;Amygdala;2.484270337936005;0.4817384474407645;65.95452979136459;23.53720459187964;0.39869989165763814;0.6084656084656085;0.7917266657939521
118932-PP;GreyMatter;0.35655374563934916;0.7055738407485271;20.074859899884732;3.7416573867739413;0.5568501605051194;0.9626890816226479;0.7329197497069941
118932-PP;Hippocampus;2.9047484597804334;0.38416214942257837;76.24303246854758;26.248809496813376;0.24237918215613383;0.9256104486087451;0.41503653075654023
