SUBJECT;LABEL;AVGDIST;DICE;HDRFDST
117122;Amygdala;1.7049820091929573;0.5236260914227016;20.396078054371138
117122;GreyMatter;0.4097647923070561;0.6816148065562883;5.0
117122;Hippocampus;3.011287906885762;0.38706710873405775;26.038433132583073
117122;Thalamus;1.1229679943784112;0.717932222860425;19.82422760159901
117122;WhiteMatter;0.39152566305626385;0.8064380767055176;3.0
117122-PP;Amygdala;1.7049820091929573;0.5236260914227016;20.396078054371138
117122-PP;GreyMatter;0.4097647923070561;0.6816148065562883;5.0
117122-PP;Hippocampus;3.011287906885762;0.38706710873405775;26.038433132583073
117122-PP;Thalamus;1.1229679943784112;0.717932222860425;19.82422760159901
117122-PP;WhiteMatter;0.39152566305626385;0.8064380767055176;3.0
118528;Amygdala;1.8500783283042495;0.4677356276886977;19.131126469708992
118528;GreyMatter;0.41140786100168725;0.6960179229992883;5.0
118528;Hippocampus;3.449758461850384;0.3781016315431679;26.92582403567252
118528;Thalamus;1.1277144294625294;0.6917422147924301;17.4928556845359
118528;WhiteMatter;0.37163345610932674;0.8061166767669946;2.8284271247461903
118528-PP;Amygdala;1.8500783283042495;0.4677356276886977;19.131126469708992
118528-PP;GreyMatter;0.41140786100168725;0.6960179229992883;5.0
118528-PP;Hippocampus;3.449758461850384;0.3781016315431679;26.92582403567252
118528-PP;Thalamus;1.1277144294625294;0.6917422147924301;17.4928556845359
118528-PP;WhiteMatter;0.37163345610932674;0.8061166767669946;2.8284271247461903
118730;Amygdala;1.696802820769219;0.5734095608806714;29.171904291629644
118730;GreyMatter;0.360985614290924;0.7040800296021241;3.3166247903554
118730;Hippocampus;3.5132649574444406;0.3502431603936663;31.575306807693888
118730;Thalamus;1.1034603964045786;0.7009756859943289;18.16590212458495
118730;WhiteMatter;0.3757358311275508;0.792221188425386;2.449489742783178
118730-PP;Amygdala;1.696802820769219;0.5734095608806714;29.171904291629644
118730-PP;GreyMatter;0.360985614290924;0.7040800296021241;3.3166247903554
118730-PP;Hippocampus;3.5132649574444406;0.3502431603936663;31.575306807693888
118730-PP;Thalamus;1.1034603964045786;0.7009756859943289;18.16590212458495
118730-PP;WhiteMatter;0.3757358311275508;0.792221188425386;2.449489742783178
118932;Amygdala;1.6053546859098566;0.5600800114302044;19.4164878389476
118932;GreyMatter;0.36083026039023713;0.7099741301186537;4.242640687119285
118932;Hippocampus;3.2711197901773588;0.3750486972064991;28.792360097775937
118932;Thalamus;1.180892514125551;0.6945715319302875;19.026297590440446
118932;WhiteMatter;0.3561809325518706;0.8144379440033431;3.0
118932-PP;Amygdala;1.6053546859098566;0.5600800114302044;19.4164878389476
118932-PP;GreyMatter;0.36083026039023713;0.7099741301186537;4.242640687119285
118932-PP;Hippocampus;3.2711197901773588;0.3750486972064991;28.792360097775937
118932-PP;Thalamus;1.180892514125551;0.6945715319302875;19.026297590440446
118932-PP;WhiteMatter;0.3561809325518706;0.8144379440033431;3.0
120111;Amygdala;1.313150324671352;0.5501516070345664;13.076696830622021
120111;GreyMatter;0.389424208200412;0.6849579046769181;4.47213595499958
120111;Hippocampus;3.156474773479645;0.37423601316408084;26.267851073127396
120111;Thalamus;1.254401544552622;0.6732149603324519;19.519221295943137
120111;WhiteMatter;0.2880887426051364;0.8415356410545526;2.23606797749979
120111-PP;Amygdala;1.313150324671352;0.5501516070345664;13.076696830622021
120111-PP;GreyMatter;0.389424208200412;0.6849579046769181;4.47213595499958
120111-PP;Hippocampus;3.156474773479645;0.37423601316408084;26.267851073127396
120111-PP;Thalamus;1.254401544552622;0.6732149603324519;19.519221295943137
120111-PP;WhiteMatter;0.2880887426051364;0.8415356410545526;2.23606797749979
122317;Amygdala;1.2173125709522659;0.6079195474544312;14.317821063276353
122317;GreyMatter;0.3859782441309611;0.6993643162018769;4.242640687119285
122317;Hippocampus;3.2435487799108444;0.37035720632663943;26.720778431774775
122317;Thalamus;1.0186715053473157;0.7394140787255357;19.313207915827967
122317;WhiteMatter;0.360270712366881;0.8214641678830059;3.0
122317-PP;Amygdala;1.2173125709522659;0.6079195474544312;14.317821063276353
122317-PP;GreyMatter;0.3859782441309611;0.6993643162018769;4.242640687119285
122317-PP;Hippocampus;3.2435487799108444;0.37035720632663943;26.720778431774775
122317-PP;Thalamus;1.0186715053473157;0.7394140787255357;19.313207915827967
122317-PP;WhiteMatter;0.360270712366881;0.8214641678830059;3.0
122620;Amygdala;1.6477423436566851;0.5536188387394667;24.657656011875904
122620;GreyMatter;0.4077635323006525;0.7024213089571052;5.385164807134504
122620;Hippocampus;3.504283792937984;0.35695212868220366;27.349588662354687
122620;Thalamus;1.0588064322827182;0.7071269737876508;17.378147196982766
122620;WhiteMatter;0.37886658599437845;0.7956237135664692;2.8284271247461903
122620-PP;Amygdala;1.6477423436566851;0.5536188387394667;24.657656011875904
122620-PP;GreyMatter;0.4077635323006525;0.7024213089571052;5.385164807134504
122620-PP;Hippocampus;3.504283792937984;0.35695212868220366;27.349588662354687
122620-PP;Thalamus;1.0588064322827182;0.7071269737876508;17.378147196982766
122620-PP;WhiteMatter;0.37886658599437845;0.7956237135664692;2.8284271247461903
123117;Amygdala;1.8295952614974833;0.5197101449275362;18.027756377319946
123117;GreyMatter;0.4231330461496306;0.6978704127057147;5.744562646538029
123117;Hippocampus;3.1969057270624086;0.39243677617584494;26.019223662515376
123117;Thalamus;1.1088777460554284;0.6917473089050777;17.72004514666935
123117;WhiteMatter;0.34996252640201225;0.8320329783908171;3.0
123117-PP;Amygdala;1.8295952614974833;0.5197101449275362;18.027756377319946
