LABEL;METRIC;STATISTIC;VALUE
Amygdala;AVGDIST;MEAN;1.5760891486364554
Amygdala;AVGDIST;STD;0.20187225792785768
Amygdala;DICE;MEAN;0.5532630438400052
Amygdala;DICE;STD;0.04006352100112276
Amygdala;HDRFDST;MEAN;20.062025753841294
Amygdala;HDRFDST;STD;4.406259485346804
GreyMatter;AVGDIST;MEAN;0.3992162752646391
GreyMatter;AVGDIST;STD;0.023088275675723722
GreyMatter;DICE;MEAN;0.6933770773319861
GreyMatter;DICE;STD;0.011045102891977748
GreyMatter;HDRFDST;MEAN;4.730274905883244
GreyMatter;HDRFDST;STD;0.6515361193144005
Hippocampus;AVGDIST;MEAN;3.2341664377895016
Hippocampus;AVGDIST;STD;0.192899369264056
Hippocampus;DICE;MEAN;0.3751762910767763
Hippocampus;DICE;STD;0.012854233750654125
Hippocampus;HDRFDST;MEAN;27.06579480484927
Hippocampus;HDRFDST;STD;1.7727807483708227
Thalamus;AVGDIST;MEAN;1.1062055323979623
Thalamus;AVGDIST;STD;0.07223260931046319
Thalamus;DICE;MEAN;0.7116312713227505
Thalamus;DICE;STD;0.025793648299970592
Thalamus;HDRFDST;MEAN;19.643684779101605
Thalamus;HDRFDST;STD;2.329302105629897
WhiteMatter;AVGDIST;MEAN;0.3604976355352044
WhiteMatter;AVGDIST;STD;0.028824179502140237
WhiteMatter;DICE;MEAN;0.8112350703892538
WhiteMatter;DICE;STD;0.01844881016132827
WhiteMatter;HDRFDST;MEAN;2.8504689629943725
WhiteMatter;HDRFDST;STD;0.27354467826259266
