SUBJECT;LABEL;AVGDIST;DICE;HDRFDST95;PRCISON;SNSVTY;VOLSMTY
117122;Amygdala;2.5080647788739014;0.47183728207420655;28.861739379323623;0.3553273859619593;0.7020285999334885;0.6721054984354046
117122;GreyMatter;0.4239517463360315;0.6696985170892865;4.69041575982343;0.5130626013459584;0.9640054383538127;0.6947040861438496
117122;Hippocampus;3.463747504794181;0.3905267053163932;30.4138126514911;0.24842283669690216;0.9124971178233802;0.42797582336252626
117122;Thalamus;1.5711687944402488;0.6821419033205733;25.317977802344327;0.5523318676565991;0.8917141859653206;0.7649781892637764
117122;WhiteMatter;0.37777568503643333;0.8079957619636235;3.1622776601683795;0.6969034669412236;0.9612227877830459;0.8405915592442168
117122-PP;Amygdala;2.5080647788739014;0.47183728207420655;28.861739379323623;0.3553273859619593;0.7020285999334885;0.6721054984354046
117122-PP;GreyMatter;0.4239517463360315;0.6696985170892865;4.69041575982343;0.5130626013459584;0.9640054383538127;0.6947040861438496
117122-PP;Hippocampus;3.463747504794181;0.3905267053163932;30.4138126514911;0.24842283669690216;0.9124971178233802;0.42797582336252626
117122-PP;Thalamus;1.571168794440249;0.6821419033205733;25.317977802344327;0.5523318676565991;0.8917141859653206;0.7649781892637764
117122-PP;WhiteMatter;0.37777568503643333;0.8079957619636235;3.1622776601683795;0.6969034669412236;0.9612227877830459;0.8405915592442168
118528;Amygdala;2.4475004536882317;0.44883222385196886;24.041630560342615;0.34675732217573224;0.6360729133354653;0.7056301478054834
118528;GreyMatter;0.4221080735416093;0.6860264859756101;5.0990195135927845;0.5332594028981557;0.9614650683516119;0.713522007774834
118528;Hippocampus;3.5286408070481143;0.37876045168519956;26.30589287593181;0.24022086761610584;0.8948172283881478;0.42328247564865096
118528;Thalamus;1.5132645929982187;0.6699944299241612;40.23679907746142;0.5476290537227709;0.8627786360626793;0.7765542653926903
118528;WhiteMatter;0.3650271703781283;0.8084472176543293;3.0;0.6978426887742308;0.9607158025998372;0.8415050688939987
118528-PP;Amygdala;2.447500453688232;0.44883222385196886;24.041630560342615;0.34675732217573224;0.6360729133354653;0.7056301478054834
118528-PP;GreyMatter;0.4221080735416093;0.6860264859756101;5.0990195135927845;0.5332594028981557;0.9614650683516119;0.713522007774834
118528-PP;Hippocampus;3.5286408070481143;0.37876045168519956;26.30589287593181;0.24022086761610584;0.8948172283881478;0.42328247564865096
118528-PP;Thalamus;1.5132645929982187;0.6699944299241612;40.23679907746142;0.5476290537227709;0.8627786360626793;0.7765542653926903
118528-PP;WhiteMatter;0.3650271703781283;0.8084472176543293;3.0;0.6978426887742308;0.9607158025998372;0.8415050688939987
118730;Amygdala;2.7697083901023487;0.5194120628484541;31.400636936215164;0.3886529126213592;0.7827681026581118;0.6635580334515965
118730;GreyMatter;0.3788210450661077;0.6921790680307239;3.4641016151377544;0.5461786350154362;0.9447126721888199;0.7326873962926772
118730;Hippocampus;4.165436080685092;0.32899847261619025;33.12099032335839;0.2027430415490117;0.8720647773279352;0.3772638010037094
118730;Thalamus;1.4520386630693911;0.6682902213738783;23.769728648009426;0.5307174966024323;0.9021442956995617;0.7407797450580311
118730;WhiteMatter;0.3675855860136259;0.7926136257215743;3.0;0.6724679043558545;0.96502954302381;0.8213361253563388
118730-PP;Amygdala;2.7697083901023487;0.5194120628484541;31.400636936215164;0.3886529126213592;0.7827681026581118;0.6635580334515965
118730-PP;GreyMatter;0.3788210450661077;0.6921790680307239;3.4641016151377544;0.5461786350154362;0.9447126721888199;0.7326873962926772
118730-PP;Hippocampus;4.165436080685091;0.32899847261619025;33.12099032335839;0.2027430415490117;0.8720647773279352;0.3772638010037094
118730-PP;Thalamus;1.4520386630693911;0.6682902213738783;23.769728648009426;0.5307174966024323;0.9021442956995617;0.7407797450580311
118730-PP;WhiteMatter;0.3675855860136259;0.7926136257215743;3.0;0.6724679043558545;0.96502954302381;0.8213361253563388
118932;Amygdala;2.286760101139078;0.5279784498591894;28.0178514522438;0.4192105774839588;0.7129629629629629;0.7405412023999021
118932;GreyMatter;0.3724551867394595;0.6989718585663466;4.242640687119285;0.5485376661143061;0.9630973285674811;0.7257541245660011
118932;Hippocampus;3.5250251294035118;0.3656372515303666;30.083217912982647;0.22905894519131334;0.9056218057921636;0.4037416603617855
118932;Thalamus;1.3974223634979244;0.6656290095282166;20.42057785666214;0.5497342181148595;0.8434434968017057;0.7891803209725932
118932;WhiteMatter;0.3451079011225109;0.8166307777448468;3.0;0.7123753624536875;0.9566330606342405;0.8536510093048915
118932-PP;Amygdala;2.286760101139078;0.5279784498591894;28.0178514522438;0.4192105774839588;0.7129629629629629;0.7405412023999021
118932-PP;GreyMatter;0.3724551867394595;0.6989718585663466;4.242640687119285;0.5485376661143061;0.9630973285674811;0.7257541245660011
118932-PP;Hippocampus;3.5250251294035118;0.3656372515303666;30.083217912982647;0.22905894519131334;0.9056218057921636;0.4037416603617855
118932-PP;Thalamus;1.3974223634979244;0.6656290095282166;20.42057785666214;0.5497342181148595;0.8434434968017057;0.7891803209725932
118932-PP;WhiteMatter;0.3451079011225109;0.8166307777448468;3.0;0.7123753624536875;0.9566330606342405;0.8536510093048915
120111;Amygdala;1.7590314442870758;0.5361598763387435;27.018512172212592;0.45819966031326664;0.6460883448642896;0.829855360494645
120111;GreyMatter;0.4024232465235742;0.6728506332787347;4.47213595499958;0.515287244193091;0.9692150624722407;0.6942222209820494
120111;Hippocampus;3.207698438242817;0.37958296731240465;27.748873851023216;0.2374479407681629;0.9456346463948399;0.40140552036617505
