LABEL;METRIC;STATISTIC;VALUE
Amygdala;AVGDIST;MEAN;2.2666639297363447
Amygdala;AVGDIST;STD;0.31137610979183555
Amygdala;DICE;MEAN;0.518473210326209
Amygdala;DICE;STD;0.03750046656566809
Amygdala;HDRFDST95;MEAN;27.239900232435332
Amygdala;HDRFDST95;STD;2.1184511622810005
Amygdala;PRCISON;MEAN;0.40812460900454123
Amygdala;PRCISON;STD;0.03564799340912428
Amygdala;SNSVTY;MEAN;0.7151061882671464
Amygdala;SNSVTY;STD;0.060636424358385385
Amygdala;VOLSMTY;MEAN;0.7271704962621228
Amygdala;VOLSMTY;STD;0.046532803940558996
GreyMatter;AVGDIST;MEAN;0.41217190739317167
GreyMatter;AVGDIST;STD;0.022502468322063148
GreyMatter;DICE;MEAN;0.6819411201346425
GreyMatter;DICE;STD;0.011250540358711146
GreyMatter;HDRFDST95;MEAN;4.58195088040042
GreyMatter;HDRFDST95;STD;0.55292506689226
GreyMatter;PRCISON;MEAN;0.5302202838229617
GreyMatter;PRCISON;STD;0.013085679975601991
GreyMatter;SNSVTY;MEAN;0.9557430661497033
GreyMatter;SNSVTY;STD;0.010960812908861384
GreyMatter;VOLSMTY;MEAN;0.7135768055302802
GreyMatter;VOLSMTY;STD;0.012375949066980127
Hippocampus;AVGDIST;MEAN;3.538397440204269
Hippocampus;AVGDIST;STD;0.26220778891009494
Hippocampus;DICE;MEAN;0.37090725180126666
Hippocampus;DICE;STD;0.017074689538626873
Hippocampus;HDRFDST95;MEAN;28.534319875263975
Hippocampus;HDRFDST95;STD;2.1195728947396937
Hippocampus;PRCISON;MEAN;0.23356021977543623
Hippocampus;PRCISON;STD;0.012646504901341222
Hippocampus;SNSVTY;MEAN;0.9024544712880657
Hippocampus;SNSVTY;STD;0.02960589277846167
Hippocampus;VOLSMTY;MEAN;0.41115567125057584
Hippocampus;VOLSMTY;STD;0.017699767768114945
Thalamus;AVGDIST;MEAN;1.4961713869405946
Thalamus;AVGDIST;STD;0.2151217010861083
Thalamus;DICE;MEAN;0.6798033842682162
Thalamus;DICE;STD;0.022924708083642775
Thalamus;HDRFDST95;MEAN;27.024531680080692
Thalamus;HDRFDST95;STD;6.2908415551749
Thalamus;PRCISON;MEAN;0.554088948275864
Thalamus;PRCISON;STD;0.028682220499073072
Thalamus;SNSVTY;MEAN;0.8808298089447891
Thalamus;SNSVTY;STD;0.02075020895905602
Thalamus;VOLSMTY;MEAN;0.771962344245371
Thalamus;VOLSMTY;STD;0.024936548365412734
WhiteMatter;AVGDIST;MEAN;0.3495660160243424
WhiteMatter;AVGDIST;STD;0.028013892792516707
WhiteMatter;DICE;MEAN;0.8126504880790787
WhiteMatter;DICE;STD;0.018514689371206164
WhiteMatter;HDRFDST95;MEAN;3.04907298936373
WhiteMatter;HDRFDST95;STD;0.3211758171664384
WhiteMatter;PRCISON;MEAN;0.7045175513290999
WhiteMatter;PRCISON;STD;0.030859263181712077
WhiteMatter;SNSVTY;MEAN;0.9613947828903197
WhiteMatter;SNSVTY;STD;0.006652463130485319
WhiteMatter;VOLSMTY;MEAN;0.8454414606647257
WhiteMatter;VOLSMTY;STD;0.02455619741488909
