SUBJECT;LABEL;DICE
117122;Amygdala;0.4616557734204793
117122;GreyMatter;0.6773611797899881
117122;Hippocampus;0.3768205616373156
117122;Thalamus;0.6921171171171171
117122;WhiteMatter;0.8089375988201845
117122-PP;Amygdala;0.4616557734204793
117122-PP;GreyMatter;0.6773611797899881
117122-PP;Hippocampus;0.3768205616373156
117122-PP;Thalamus;0.6921171171171171
117122-PP;WhiteMatter;0.8089375988201845
118528;Amygdala;0.4469602626514208
118528;GreyMatter;0.6928566634900608
118528;Hippocampus;0.37094242999917404
118528;Thalamus;0.6841695164711484
118528;WhiteMatter;0.8102410171013601
118528-PP;Amygdala;0.4469602626514208
118528-PP;GreyMatter;0.6928566634900608
118528-PP;Hippocampus;0.37094242999917404
118528-PP;Thalamus;0.6841695164711484
118528-PP;WhiteMatter;0.8102410171013601
118730;Amygdala;0.51253081347576
118730;GreyMatter;0.6992933448837433
118730;Hippocampus;0.3298345031875845
118730;Thalamus;0.6926809723087882
118730;WhiteMatter;0.7946496124789677
118730-PP;Amygdala;0.51253081347576
118730-PP;GreyMatter;0.6992933448837433
118730-PP;Hippocampus;0.3298345031875845
118730-PP;Thalamus;0.6926809723087882
118730-PP;WhiteMatter;0.7946496124789677
118932;Amygdala;0.5189309576837416
118932;GreyMatter;0.705111381793289
118932;Hippocampus;0.3538117070050112
118932;Thalamus;0.6863900327314961
118932;WhiteMatter;0.8175536809345074
118932-PP;Amygdala;0.5189309576837416
118932-PP;GreyMatter;0.705111381793289
118932-PP;Hippocampus;0.3538117070050112
118932-PP;Thalamus;0.6863900327314961
118932-PP;WhiteMatter;0.8175536809345074
120111;Amygdala;0.5300407893286297
120111;GreyMatter;0.6802229085367016
120111;Hippocampus;0.3506258926321095
120111;Thalamus;0.6703986429177269
120111;WhiteMatter;0.8442820052330313
120111-PP;Amygdala;0.5300407893286297
120111-PP;GreyMatter;0.6802229085367016
120111-PP;Hippocampus;0.3506258926321095
120111-PP;Thalamus;0.6703986429177269
120111-PP;WhiteMatter;0.8442820052330313
122317;Amygdala;0.5654426672674026
122317;GreyMatter;0.6921427371733981
122317;Hippocampus;0.36127374688109887
122317;Thalamus;0.7236421725239617
122317;WhiteMatter;0.820809892210809
122317-PP;Amygdala;0.5654426672674026
122317-PP;GreyMatter;0.6921427371733981
122317-PP;Hippocampus;0.36127374688109887
122317-PP;Thalamus;0.7236421725239617
122317-PP;WhiteMatter;0.820809892210809
122620;Amygdala;0.5189636489015861
122620;GreyMatter;0.6984663743899413
122620;Hippocampus;0.34763654480911754
122620;Thalamus;0.6939772954479817
122620;WhiteMatter;0.7998696693094834
122620-PP;Amygdala;0.5189636489015861
122620-PP;GreyMatter;0.6984663743899413
122620-PP;Hippocampus;0.34763654480911754
122620-PP;Thalamus;0.6939772954479817
122620-PP;WhiteMatter;0.7998696693094834
123117;Amygdala;0.48584497465694154
123117;GreyMatter;0.6933532849034049
123117;Hippocampus;0.37126590904095136
123117;Thalamus;0.6699791905550601
123117;WhiteMatter;0.8344191423513686
123117-PP;Amygdala;0.48584497465694154
123117-PP;GreyMatter;0.6933532849034049
123117-PP;Hippocampus;0.37126590904095136
123117-PP;Thalamus;0.6699791905550601
123117-PP;WhiteMatter;0.8344191423513686
123925;Amygdala;0.5099879925772296
123925;GreyMatter;0.6792686388523904
123925;Hippocampus;0.36851581925748095
123925;Thalamus;0.7081863018221589
123925;WhiteMatter;0.8272371706448289
123925-PP;Amygdala;0.5099879925772296
123925-PP;GreyMatter;0.6792686388523904
123925-PP;Hippocampus;0.36851581925748095
123925-PP;Thalamus;0.7081863018221589
123925-PP;WhiteMatter;0.8272371706448289
124422;Amygdala;0.5552644347404173
124422;GreyMatter;0.6701866219928588
124422;Hippocampus;0.3740482822655525
124422;Thalamus;0.7403939745075319
124422;WhiteMatter;0.7814917625272615
124422-PP;Amygdala;0.5552644347404173
124422-PP;GreyMatter;0.6701866219928588
124422-PP;Hippocampus;0.3740482822655525
124422-PP;Thalamus;0.7403939745075319
124422-PP;WhiteMatter;0.7814917625272615
